Season,Sector,Category,Crop,QueryType,QueryText,KccAns,StateName,DistrictName,BlockName,CreatedOn
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),"	Plant Protection	",Asked about plant protection in sugarcane,,KARNATAKA,BELGAUM,RAYBAG,34:27.0
,AGRICULTURE,Others,Others,Weather,Asked about weather report of Athni,Precipitation 0%Hazy sunshine; hot; air quality will be unhealthy for sensitive groups,KARNATAKA,BELGAUM,ATHNI,26:38.6
,HORTICULTURE,Vegetables,Chillies,"	Plant Protection	",Asked about Disease management in,Spray 1.0 g. Carbendazim.OR1.0 g. Benomyl/lit. water 200 lit. spray solution required/acre/spray.,KARNATAKA,BELGAUM,KHANAPUR,29:13.9
,AGRICULTURE,Others,Others,Weather,ASKED ABOUT WEATHER REPORT in athani,RealFeelï¿½ï¿½ 41ï¿½ï¿½Precipitation 0%Hazy sunshine; hot; air quality will be unhealthy for sensitiv,KARNATAKA,BELGAUM,ATHNI,42:05.5
,AGRICULTURE,Others,Others,Weather,Asked about weather report of athni,Precipitation 0%Hazy sunshine; hot; air quality will be unhealthy for sensitive groups,KARNATAKA,BELGAUM,ATHNI,10:18.1
,HORTICULTURE,Vegetables,Capsicum,Seeds and Planting Material,Asked about Cultural practices in capsicum,"suggested that Prepare the land by ploughing, harrowing and bring the soil to a fine tilth. Capsicum can be grown successfully in well drained red loam or medium black soils, July-August and October - November are the two ideal seasons suitable for starting the crop. the suitable varieties of capsicum is Apoorva, California Wonder, Arka Mothini, Arka Basant, Arka Gourav, Yolovander",KARNATAKA,BELGAUM,CHIKODI,35:04.7
,HORTICULTURE,Vegetables,Cucumber,"	Plant Protection	",ASKED ABOUT THE PLANT PROTECTION in cucumber,RECOMMENDED TO APPLY0.5 g.Streptomycin sulphate with 3.0 g. Copperoxychloride 50 WP./lit. water.,KARNATAKA,BELGAUM,RAYBAG,43:43.7
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Sowing Time and Weather,Asked about sowing seasonfor sugarcane,"June - Aug,Oct - Nov,Jan - Feb  is best",KARNATAKA,BELGAUM,ATHNI,45:40.5
,AGRICULTURE,Others,Others,Weather,Asked about taluk Weather report of  athni,"Sunshine to start, then a few afternoon clouds. High 104F. Winds NW at 5 to 10 mph.",KARNATAKA,BELGAUM,ATHNI,11:35.5
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),"	Plant Protection	",Asked about plant protection insugarcane,Recommended to spray -chloropyriphos 2ml/10liter of water,KARNATAKA,BELGAUM,ATHNI,28:09.1
,AGRICULTURE,Others,Others,Weather,Asked about weather report of hukeri,Precipitation 0%Hazy sun; hot; air quality will be unhealthy for sensitive groups,KARNATAKA,BELGAUM,HUKERI,35:06.9
,HORTICULTURE,Vegetables,Leafy Vegetable,"	Plant Protection	",Asked  about leaf eating caterpillar in Methi,Spray 2.0 ml. Malathion 50 EC. in a lit. water.250 - 300 lit. spray,KARNATAKA,BELGAUM,RAMDURG,47:40.2
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Sowing Time and Weather,Asked about  Sowing season for sugarcane,"sugarcane sowing season June - Aug,Oct - Nov,Jan - Feb",KARNATAKA,BELGAUM,GOKAK,36:35.8
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),"	Plant Protection	",Asked about plant protection in sugarcane,"suggested to spray 2.0 g. Mancozeb 75 WP./lit water, spray the fungicide at 12, 16 and 20th weeks after planting",KARNATAKA,BELGAUM,CHIKODI,37:00.4
,AGRICULTURE,Others,Others,Crop Insurance,asked about crop insurance claim,recommended to contact near by RSK,KARNATAKA,BELGAUM,ATHNI,54:08.1
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Seeds,Asked about general information in sugarcane,"suggested that Based on the duration of the sugarcane varieties, can be harvested in 10 - 14 months after planting within 2 months after flowering.With good management practices, about 35 - 40 t. sugarcane can be obtained from first rotoon crop and 30 - 35 t. from third rotoon crop",KARNATAKA,BELGAUM,HUKERI,55:17.0
,HORTICULTURE,Vegetables,Tomato,"	Plant Protection	",Asked about Plant Protection in  tomato,Recommended to spray any one of the following insecticides/lit. water.a)Dimethoate 30 EC.- 1.7 ml.per liter of waterb)Lancer gold 1 gm per liter of water,KARNATAKA,BELGAUM,HUKERI,57:00.0
