QueryType,links
fertilisers,https://www.amazon.com/trichoderma-harzianum/s?k=trichoderma+harzianum
weather,https://weather.com/en-IN/weather/today/l/4dba60af3af14773eb61a55c55baafe720d59920c2b029e09d6d0cd62c1f94d3
control,https://store.doyourownpestcontrol.com/catalogsearch/result/?q=chrysanthemum
control,https://bidurpaneru.wordpress.com/2014/06/20/management-of-mango-stem-borer-batocera-rufomaculata-in-mango-field/
schemes,https://pmkisan.gov.in/
schemes,http://vikaspedia.in/agriculture/agri-insurance/pm-kisan-maan-dhan-yojana
schemes,https://www.wishfin.com/kisan-credit-card/
govt schemes,https://www.india.gov.in/website-crop-insurance-portal
plant protection,https://www.india.gov.in/topics/agriculture/plant-protection
nutrient management,http://www.soilmanagementindia.com/soil-fertility/site-specific-nutrient-management-ssnm-explained/3192
culture practice,https://justagric.com/cultural-practices-agriculture/
post harvest preserve,https://dir.indiamart.com/impcat/post-harvest-management.html
weed manangment,https://www.researchgate.net/publication/283566880_Weeds_and_Weed_Management_in_India_-A_Review
market information,http://vikaspedia.in/agriculture/market-information/market-information-related-websites
weather,https://farmer.gov.in/WeatherReport/weatherreport.aspx
schemes,https://pradhanmantriyojana.co.in/fasal-bima-beema/
sow time weather,https://www.agrifarming.in/vegetable-seed-germination-sowing-time-a-full-guide
soil test,https://www.youtube.com/watch?v=YYA8AR419HI
soil test,https://www.youtube.com/watch?v=Ihdkrq40Kls
vegetable propogation tissue culture,https://www.agrifarming.in/plant-tissue-culture
vegetable propogation tissue culture,https://www.youtube.com/watch?v=JjNnvbrygjY
government schemes,https://agrifarmingbiz.com/government-subsidy-schemes-agriculture/
field preparation,http://www.knowledgebank.irri.org/step-by-step-production/pre-planting/land-preparation
field preparation,http://agropedia.iitk.ac.in/content/cultivation-wheat
field preparation,https://www.youtube.com/watch?v=-gwQtO8M_PU
seed plant material,https://nurserylive.com/en/seeds
organic farm,https://www.farmingindia.in/organic-farming/
organic farm,https://www.youtube.com/watch?v=Kn_rlpyRCZs
seeds,https://gardenerdy.com/different-types-of-seeds
water management,https://www.youtube.com/watch?v=e7rOjlhYN3E
agricultural mechanisms,https://tractors.fandom.com/wiki/List_of_Types_of_Agricultural_Machinery
micro irrigation,https://www.indiawaterportal.org/articles/micro-irrigation-and-groundwater-use
crop insurrance,https://www.bankbazaar.com/miscellaneous-insurance/crop-insurance.html
bio pesticide/bio fertilizesr,https://www.biofertilizerindia.in/
spice condiment crop,https://www.indiaagronet.com/horticulture/CONTENTS/spices_and_condiments.htm
animal breed,https://en.wikipedia.org/wiki/List_of_Indian_cattle_breeds
soil health card,https://www.india.gov.in/spotlight/soil-health-card#tab=tab-1
nursery management,https://www.youtube.com/watch?v=sD0im-k16eA
post harvest preserve,https://dir.indiamart.com/impcat/post-harvest-management.html
